id,user_id,name,icon,color,created_at
1,7f99eac4-78e5-4eac-a1c3-bf02d466df07,AUTOMAÇÃO E DEV,💻,#ec4899,2026-02-12 23:44:07.026235+00
2,7f99eac4-78e5-4eac-a1c3-bf02d466df07,IMAGENS E DESIGN,📸,#ff4466,2026-02-12 23:44:07.287954+00
3,7f99eac4-78e5-4eac-a1c3-bf02d466df07,CRIAÇÃO DE TUTORIAIS,💡,#0048ff,2026-02-12 23:44:07.472433+00
4,7f99eac4-78e5-4eac-a1c3-bf02d466df07,CRIAÇÃO DE VIDEOS,🎬,#84cc16,2026-02-12 23:44:07.645536+00
19,7f99eac4-78e5-4eac-a1c3-bf02d466df07,CRIAÇÃO DE TEXTOS,📝,#84cc16,2026-02-25 02:30:01.557031+00
